Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,213.9,"Baltimore, MD","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97",,,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,230.4,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,184.1,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,156,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,221.8,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,116.7,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to total count <20.",,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,190.2,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,151.8,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,171.5,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,119,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,209.1,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,117.4,"Boston, MA","All cancer mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 codes: C00-C97","Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016).",,,,,,
