Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,2.5,"Denver, CO","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0.",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,17.1,"Denver, CO","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0.",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,3.3,"Seattle, WA","Report age-adjusted firearm-related mortality rate using  ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0. Compute rates per 100,000, age adjusted to the year 2000 standard population.","Washington State Department of Health, Center for Health Statistics, Death Certificate Data, 1990-2016, October 2017.",,,,,1.5,6.6
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,34.2,"Los Angeles, CA","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,17.7,"Philadelphia, PA","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0",PA Eddie-->Vital Statistics,,,,,15.7,19.8
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,31.7,"Philadelphia, PA","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0",PA Eddie-->Vital Statistics,,,,,27.5,35.9
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,10.1,"Philadelphia, PA","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0",PA Eddie-->Vital Statistics,,,,,7.7,12.4
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,6.3,"Los Angeles, CA","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,15.7,"San Antonio, TX","Report age-adjusted firearm-related mortality rate using  ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0. Compute rates per 100,000, age adjusted to the year 2000 standard population.",CDC Wonder,,Bexar County level data,,,12.9,18.4
Injury/Violence,"Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,16,"Columbus, OH","Report age-adjusted firearm-related mortality rate per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. Use ICD-10 codes: W32-W34, X72-X74, X93-X95, Y22-Y24, Y35.0.","Mortality data from Ohio Department of Health, Office of Vital Statistics.  Population files from US Census 2010 Decenial Census.  Analyzed by Columbus Public Health, Office of Epidemiology",,"Columbus defined based on resident zipcode within (43201,43202,43203,43204,43205,43206,43207,43209,43211,43214,43215,43219,43222,43223,43224,43227,43228,43229,43231,43232,43235).",,,12.9,19.2
