Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,All,990,"Kansas City, MO","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 population using 2010 US Census figures.",,,,,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,All,383.5,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,Asian/PI,94.9,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,Black,1034.1,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,Hispanic,376.9,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,Other,211.7,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,White,403.4,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Female,All,76.7,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Male,All,688,"San Diego County, CA","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 pop using 2010 US Census figures.","Source: County of San Diego, Health & Human Services Agency, HIV/AIDS Epidemiology Unit, HIV/AIDS Reporting System, Received 1/2018; SANDAG, Current Population Estimates, Received 05/2017. Prepared by County of San Diego, Health & Human Services Agency, Public Health Services, Community Health Statistics, 1//2018.","All HIV/AIDS data was pulled from the HIV/AIDS Reporting System. Crude rates per 100,000 population use SANDAG current population estimates for the specific year.","1. Living through year-end. 2. 2010-2015 include only cases that have had either an HIV diagnosis or an AIDS diagnosis as a resident of San Diego County.  2016 also includes those who have been diagnosed elsewhere but were living in San Diego in 2016. 3. Beginning in 2015, additional data sources allowed for more updated address information for People Living with HIV/AIDS, resulting in more accurate numbers currently living in San Diego County.",,,,
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2010,Both,Black,1227.1,"Chicago, Il","Rate of persons living with HIV/AIDS at the end of a given year; crude rate per 100,000 population using 2010 US Census figures.",,,,,,,
