Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,All,73.9,"Baltimore, MD",Life expectancy at birth,,,Computed with range of years - 2011 to 2013,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Both,All,80.1,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Both,Asian/PI,87.2,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Both,Black,77,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Both,Hispanic,86.4,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Both,White,79.5,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Female,All,82.8,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2012,Male,All,77.1,"Boston, MA",Life expectancy at birth,"Boston Public Health Commission Research and Evaluation; Boston Resident Deaths, Massachusetts Department of Public Health",Abridged Life Table/Life Expectancy Methodology Used,Computed with range of years - 2008 to 2012,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Male,All,77.3,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,Asian/PI,87.5,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,Black,77.6,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,Hispanic,86,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,White,79.5,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,All,80.2,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Female,All,83,"Boston, MA",Life expectancy at birth,"Boston Resident Deaths, MA Department of Public Health, US Census",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Male,All,77.5,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Female,All,83.7,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Both,White,79.6,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Both,Hispanic,87.2,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Both,Black,77.3,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2014,Both,Asian/PI,88.5,"Boston, MA",Life expectancy at birth,"Boston resident deaths, Massachusetts Department of Public Health (data as of December 2016)",,,,,,
