Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,21.5,"Denver, CO","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,,"Indianapolis (Marion County), IN","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J10-J18",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,10.2,"Miami (Miami-Dade County), FL","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,15.6,"Los Angeles, CA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,12.9,"Los Angeles, CA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,9.3,"Los Angeles, CA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,13.6,"Los Angeles, CA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Linked California DPH Death Statistical Master File for Los Angeles County residents, 2010-2012","Age-specific rates calculated using annual Los Angeles County population estimate created by LAC Internal Services Division, adjusted to year 2000 standard population. Includes records for which Los Angeles was recorded on the death certificate as the decedents city of residence.",,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,8.1,"Miami (Miami-Dade County), FL","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,8.9,"Seattle, WA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Washington State Department of Health, Center for Health Statistics, Death Certificate Data, 1990-2016, October 2017.",,,,,5.7,13.7
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,7.2,"Seattle, WA","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18","Washington State Department of Health, Center for Health Statistics, Death Certificate Data, 1990-2016, October 2017.",,,,,4.7,11.1
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,14.1,"Denver, CO","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,6.7,"Denver, CO","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,15.2,"Denver, CO","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,13.2,"Denver, CO","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,22.6,"Chicago, Il","Pneumonia and influenza deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population.  ICD-10 codes: J09-J18",,,,,,,
