Indicator Category,Indicator,Year,Sex,Race,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,6.2,"Kansas City, MO","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, Y87.0",,,,,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,6.2,"Kansas City, MO","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, Y87.0",,,,,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,15.8,"Kansas City, MO","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, Y87.0",,,,,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,11.3,"Denver, CO","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, Y87.0",Mortality data from the Colorado Department of Public Health and Environment,,,,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,6.7,"Kansas City, MO","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, Y87.0",,,,,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,18.4,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,,,,14.4,23.2
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,15.1,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,,,,12.1,18.7
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Injury/Violence,"Suicide Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,12.1,"Indianapolis (Marion County), IN","Suicides per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population. ICD-10 Codes: X60-X84, X87.0",MCPHD Death Certificate data,,,,,9.9,14.6
